Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority,,,
203246,,,LAMIACEAE,Leonurus,,,,,Leonurus cardiaca,,,,cardiaca,L.,,,
203247,,,LAMIACEAE,Marrubium,,,,,Marrubium vulgare,,,,vulgare,L.,,,
203248,,,LAMIACEAE,Melissa,,,,,Melissa officinalis,,,,officinalis,L.,,,
164256,,,LAMIACEAE,Mentha,,,,,Mentha pulegium,,,,pulegium,L.,,,
203251,,,LAMIACEAE,Nepeta,,,,,Nepeta cataria,,,,cataria,L.,,,
203252,,,LAMIACEAE,Origanum,,,,,Origanum onites,,,,onites,L.,,,
203254,,,LAMIACEAE,Origanum,,,,,Origanum vulgare subsp. virens,,,,vulgare,(Hoffmanns. &amp; Link) Ietsw.,,,
203255,,,LAMIACEAE,Phlomis,,,,,Phlomis crinita,,,,crinita,Cav.,,,
203256,,,LAMIACEAE,Prunella,,,,,Prunella vulgaris,,,,vulgaris,L.,,,
203257,,,LAMIACEAE,Rosmarinus,,,,,Rosmarinus officinalis,,,,officinalis,L.,,,
203258,,,LAMIACEAE,Salvia,,,,,Salvia fruticosa,,,,fruticosa,Mill.,,,
203262,,,LAMIACEAE,Salvia,,,,,Salvia sclarea,,,,sclarea,L.,,,
203263,,,LAMIACEAE,Salvia,,,,,Salvia tomentosa,,,,tomentosa,Mill.,,,
55688535,,,LAMIACEAE,Satureja,,,,,Satureja cuneifolia,,,,cuneifolia,Ten.,,,
203264,,,LAMIACEAE,Satureja,,,,,Satureja hortensis,,,,hortensis,L.,,,
209112283,,,LAMIACEAE,Satureja,,,,,Satureja montana,,,,montana,L.,,,
203266,,,LAMIACEAE,Sideritis,,,,,Sideritis arborescens,,,,arborescens,Salzm. ex Benth.,,,
203272,,,LAMIACEAE,Sideritis,,,,,Sideritis syriaca,,,,syriaca,L.,,,
